#period	period time	calc time
1	2240	1001
2	1998	1002
3	1749	1001
4	2248	751
5	1499	751
6	1498	1000
7	1750	999
8	1747	751
9	1500	990
10	1773	736
11	1468	754
12	1501	1247
13	1994	1006
14	1750	756
15	1515	992
16	1741	747
17	1495	744
18	1507	1244
19	1990	751
20	1499	752
21	1498	1000
22	1749	751
23	1495	1003
24	2001	1001
25	1748	751
26	1498	751
27	1499	1001
28	1500	1000
29	1751	747
30	1493	752
31	1751	749
32	1498	1001
33	1499	1003
34	1749	750
35	1500	770
36	1452	1047
37	1794	1001
38	1501	998
39	1748	749
40	1498	749
41	1498	1000
42	1748	752
43	1499	1000
44	1748	1000
45	1749	751
46	1250	999
47	1749	752
48	1498	750
49	1498	1000
50	1750	749
51	1497	1002
52	1749	751
53	1499	752
54	1499	1000
55	1499	1000
56	1750	999
57	1747	751
58	1499	750
59	1498	1000
60	1499	1001
61	1748	749
62	1498	1251
63	1754	997
64	1743	750
65	1501	748
66	1497	1000
67	1748	500
68	1248	1250
69	1998	761
70	1502	749
71	1498	999
72	1748	500
73	1248	1000
74	1750	998
75	1497	1000
76	1748	750
77	1499	751
78	1499	1001
79	1748	750
80	1500	749
81	1746	751
82	1499	752
83	1500	999
84	1747	749
85	1500	749
86	1494	1004
87	1499	1007
88	1752	1000
89	1748	751
90	1498	751
91	1499	992
92	1498	1004
93	1751	1000
94	1749	1000
95	1499	749
96	1748	749
97	1499	751
98	1498	1000
99	1749	750
100	1503	746
101	1746	749
102	1497	752
103	1499	1000
104	1751	747
105	1246	1003
106	1750	999
107	1747	752
108	1499	999
109	1748	750
110	1500	749
111	1497	1000
112	1498	1002
113	1999	751
114	1499	1002
115	1500	749
116	1747	750
117	1499	752
118	1748	1250
119	2000	749
120	1498	1000
121	1499	1000
122	1748	751
123	1499	751
124	1498	1000
125	1750	999
126	1497	1001
127	1749	750
128	1500	749
129	1497	1000
130	1748	1000
131	1498	1001
132	1749	1002
133	1749	750
134	1249	1000
135	1749	749
136	1497	750
137	1750	749
138	1497	750
139	1498	1001
140	1748	751
141	1499	748
142	1499	1000
143	1499	1000
144	1749	1000
145	1748	751
146	1500	745
147	1498	1000
148	1498	1001
149	1745	1004
150	1752	1002
151	1499	747
152	1749	751
153	1250	1000
154	1749	1004
155	1751	749
156	1497	751
157	1748	751
158	1249	999
159	1749	1001
160	1499	749
161	1497	1000
162	1748	1001
163	1499	1001
164	1743	1006
165	1754	750
166	1249	1000
167	1748	752
168	1499	1002
169	1748	1000
170	1749	750
171	1499	750
172	1498	751
173	1500	749
174	1747	751
175	1749	750
176	1498	751
177	1499	1003
178	1499	751
179	1748	751
180	1249	1001
181	1749	996
182	1750	749
183	1497	750
184	1498	1001
185	1499	1001
186	1749	752
187	1499	1251
188	1748	1000
189	1748	751
190	1499	750
191	1500	999
192	1747	751
193	1499	1000
194	1748	1001
195	1499	751
196	1498	1000
197	1748	751
198	1499	750
199	1499	1000
200	1749	750
201	1497	1001
202	1746	754
203	1502	751
204	1497	1004
205	1501	1001
206	1749	1000
207	1746	753
208	1497	754
209	1499	1006
210	1502	1003
211	1748	749
212	1499	1000
213	1749	751
214	1499	999
215	1497	1001
216	1748	1001
217	1499	752
218	1500	1249
219	1997	751
220	1249	1000
221	1748	1000
222	1748	753
223	1499	751
224	1499	751
225	1749	750
226	1499	1001
227	1750	750
228	1498	751
229	1499	750
230	1498	751
231	1749	1001
232	1498	751
233	1490	1009
234	1758	750
235	1499	751
236	1500	999
237	1497	1000
238	1999	750
239	1498	751
240	1499	752
241	1499	1001
242	1498	1000
243	1749	750
244	1498	1000
245	1750	749
246	1498	751
247	1498	1001
248	1749	750
249	1498	752
250	1749	751
251	1499	750
252	1498	1000
253	1749	750
254	1250	999
255	1744	1005
256	1499	1004
257	1752	1001
258	1749	752
259	1498	752
260	1497	1004
261	1500	1002
262	1750	1001
263	1749	1000
264	1498	750
265	1496	1003
266	1751	749
267	1499	752
268	1499	751
269	1749	749
270	1502	996
271	1496	999
272	1749	751
273	1498	749
274	1498	1000
275	1748	1001
276	1501	998
277	1745	751
278	1500	750
279	1498	1000
280	1748	751
281	1251	1249
282	1997	750
283	1499	751
284	1499	1000
285	1748	744
286	1500	749
287	1497	1000
288	1749	750
289	1498	1000
290	1750	750
291	1497	751
292	1499	1000
293	1499	1000
294	1748	1002
295	1749	751
296	1498	751
297	1499	1000
298	1499	999
299	1750	748
300	1497	1250
301	1749	1000
302	1748	751
303	1499	752
304	1498	1001
305	1749	752
306	1499	1001
307	1749	751
308	1501	748
309	1496	1000
310	1749	750
311	1498	746
312	1498	1002
313	1748	752
314	1496	1004
315	1752	749
316	1499	747
317	1500	999
318	1498	1000
319	1747	1002
320	1750	746
321	1499	750
322	1499	1000
323	1498	1000
324	1746	752
325	1751	1000
326	1500	1000
327	1747	751
328	1498	750
329	1499	1000
330	1748	753
331	1499	1000
332	1748	751
333	1749	501
334	1249	1000
335	1750	749
336	1496	752
337	1499	1000
338	1749	751
339	1498	1002
340	1749	751
341	1499	750
342	1499	1000
343	1499	1000
344	1750	999
345	1747	751
346	1499	750
347	1499	999
348	1502	1010
349	1746	750
350	1747	1001
351	1499	1001
352	1748	751
353	1501	749
354	1497	1001
355	1749	751
356	1499	1000
357	1748	1002
358	1750	750
359	1498	750
360	1499	990
361	1488	760
362	1759	999
363	1748	750
364	1499	750
365	1498	1002
366	1499	1002
367	1749	746
368	1499	752
369	1749	750
370	1495	1004
371	1504	995
372	1747	746
373	1498	747
374	1498	1001
375	1747	1004
376	1500	1002
377	1749	748
378	1500	748
379	1498	1000
380	1750	750
381	1497	1001
382	1748	1001
383	1749	500
384	1249	1001
385	1749	749
386	1497	750
387	1499	1000
388	1998	501
389	1250	999
390	1748	750
391	1499	750
392	1747	751
393	1499	752
394	1499	1000
395	1748	751
396	1499	750
397	1498	1000
398	1503	997
399	1745	1000
400	1748	1001
401	1499	996
402	1749	752
403	1499	750
404	1498	1000
405	1749	751
406	1499	1000
407	1750	1000
408	1747	750
409	1498	750
410	1498	1001
411	1499	1002
412	1749	1000
413	1748	750
414	1499	751
415	1499	1001
416	1500	999
417	1747	751
418	1499	750
419	1748	752
420	1499	1003
421	1498	1000
422	1749	750
423	1500	749
424	1497	1000
425	1750	1000
426	1744	754
427	1499	1003
428	1752	747
429	1498	749
430	1499	747
431	1498	1000
432	1745	1005
433	1752	747
434	1500	746
435	1496	1001
436	1499	750
437	1748	751
438	1749	749
439	1499	751
440	1498	1001
441	1499	752
442	1749	750
443	1500	748
444	1747	750
445	1499	1000
446	1498	1001
447	1748	752
448	1500	750
449	1498	1001
450	1749	1001
451	1499	1001
452	1750	999
453	1747	750
454	1250	1000
455	1747	750
456	1498	1001
457	1749	1000
458	1749	750
459	1498	751
460	1499	1000
461	1500	999
462	1747	750
463	1749	750
464	1498	751
465	1499	1005
466	1500	1000
467	1749	751
468	1498	751
469	1749	750
470	1500	999
471	1497	1001
472	1749	751
473	1499	750
