#signal	response time
0	3270
1	1169
2	1188
3	2924
4	924
5	928
6	926
7	3426
8	1173
9	1669
10	1424
11	923
12	932
13	1471
14	1174
15	1178
16	927
17	1430
18	1922
19	1177
20	1429
21	1427
22	1425
23	1675
24	1429
25	1425
26	1173
27	1178
28	1176
29	1179
30	1675
31	1429
32	1174
33	1676
34	924
35	1180
36	1176
37	1176
38	1173
39	1181
40	1158
41	1197
42	1426
43	1428
44	1172
45	1191
46	1177
47	1177
48	1178
49	926
50	1179
51	1177
52	1176
53	1174
54	1433
55	1176
56	1176
57	1175
58	1182
59	1425
60	1422
61	1179
62	1176
63	1176
64	1176
65	1174
66	1680
67	1178
68	1178
69	1674
70	1179
71	1429
72	1674
73	925
74	1179
75	1178
76	1175
77	1174
78	1179
79	2178
80	1924
81	1175
82	1681
83	1178
84	1176
85	928
86	932
87	1427
88	1184
89	1671
90	1180
91	1177
92	1186
93	1172
94	1177
95	1179
96	1193
97	1169
98	1177
99	1424
100	1180
101	1427
102	1436
103	1177
104	1174
105	1420
106	1186
107	1184
108	1427
109	1426
110	1678
111	1180
112	1427
113	1179
114	1179
115	1179
116	1175
117	1428
118	1173
119	926
120	1179
121	1176
122	1181
123	1173
124	927
125	1178
126	1177
127	1174
128	1176
129	1174
130	930
131	1177
132	1180
133	1176
134	1678
135	1176
136	1178
137	1178
138	1175
139	1178
140	1176
141	1176
142	1677
143	1178
144	1176
145	1181
146	1427
147	1176
148	1179
149	1175
150	928
151	928
152	1176
153	1181
154	1186
155	1197
156	927
157	1179
158	1186
159	1173
160	1181
161	1178
162	1179
163	1187
164	1172
165	929
166	1429
167	928
168	1175
169	1179
170	926
171	926
172	934
173	920
174	929
175	2927
